System Date,Purchase Category,SKU,Store,Supply Site,Vendor,DC to Store Lead Time (in Days),Stock Transfer Schedule at Store (in Days),AVAILABLE STOCK (Units),UoM,STOCK VALUE (INR),Stock in Transit,STO count in last two weeks,Total STO qty raised in last 2 weeks,Fill rate at Stores for last 2 weeks - Rolling Average,DC to Store Fill Rate On Time - Rolling Average,Last Good Receipt Note (GRN) date at Store,Last GRN qty at Store,Days since last GRN at Store,Daily SALES QTY - Rolling Average for Last Month,Daily SALES VALUE - Rolling Average for Last Month,Actual Sale in Last 2 weeks (Total),Retail Price
5/11/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,10,10,0,Litres,0,51,3,114,9%,97%,5/5/2016,92,6,114,"10,260.00","143,640.00",90
5/12/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,14,6,0,Litres,0,51,3,114,7%,91%,5/6/2016,106,6,101,"9,090.00","101,808.00",90
5/13/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,13,5,0,Litres,0,51,3,114,8%,95%,5/7/2016,106,6,108,"9,720.00","176,904.00",90
5/14/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,15,6,0,Litres,0,51,3,114,5%,99%,5/8/2016,97,6,107,"9,630.00","107,856.00",90
5/15/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,15,7,0,Litres,0,51,3,114,13%,94%,5/9/2016,92,6,104,"9,360.00","157,248.00",90
5/16/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,12,8,0,Litres,0,51,3,114,8%,99%,5/10/2016,109,6,122,"10,980.00","122,976.00",90
5/17/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,14,8,0,Litres,0,51,3,114,8%,98%,5/11/2016,100,6,102,"9,180.00","167,076.00",90
5/18/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,15,5,0,Litres,0,51,3,114,6%,97%,5/12/2016,93,6,104,"9,360.00","157,248.00",90
5/19/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,10,6,50,Litres,"4,500.00",51,3,114,96%,95%,5/13/2016,112,6,109,"9,810.00","123,606.00",90
5/20/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,13,6,115,Litres,"10,350.00",51,3,114,95%,93%,5/14/2016,106,6,114,"10,260.00","143,640.00",90
5/21/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,11,8,203,Litres,"18,270.00",51,3,114,96%,97%,5/15/2016,112,6,106,"9,540.00","160,272.00",90
5/22/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,11,15,0,Litres,0,51,3,114,15%,90%,5/16/2016,95,6,117,"10,530.00","147,420.00",90
5/23/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,12,9,0,Litres,0,51,3,114,6%,92%,5/17/2016,101,6,112,"10,080.00","112,896.00",90
5/24/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,14,12,0,Litres,0,51,3,114,10%,96%,5/18/2016,100,6,119,"10,710.00","194,922.00",90
5/25/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,10,10,0,Litres,0,51,3,114,15%,99%,5/19/2016,101,6,110,"9,900.00","110,880.00",90
5/26/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,13,5,116,Litres,"10,440.00",51,3,114,96%,92%,5/20/2016,100,6,112,"10,080.00","169,344.00",90
5/27/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,10,10,153,Litres,"13,770.00",51,3,114,95%,91%,5/21/2016,113,6,107,"9,630.00","161,784.00",90
5/28/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,10,15,167,Litres,"15,030.00",51,3,114,100%,90%,5/22/2016,113,6,119,"10,710.00","194,922.00",90
5/29/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,12,13,47,Litres,"4,230.00",51,3,114,99%,98%,5/23/2016,91,6,128,"11,520.00","161,280.00",90
5/30/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,12,7,154,Litres,"13,860.00",51,3,114,97%,94%,5/24/2016,97,6,130,"11,700.00","163,800.00",90
5/31/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,11,7,166,Litres,"14,940.00",51,3,114,95%,97%,5/25/2016,108,6,101,"9,090.00","152,712.00",90
6/1/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,10,14,53,Litres,"4,770.00",51,3,114,97%,93%,5/26/2016,112,6,100,"9,000.00","163,800.00",90
6/2/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,14,12,68,Litres,"6,120.00",51,3,114,96%,91%,5/27/2016,99,6,100,"9,000.00","163,800.00",90
6/3/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,11,10,194,Litres,"17,460.00",51,3,114,98%,99%,5/28/2016,99,6,106,"9,540.00","160,272.00",90
6/4/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,11,12,138,Litres,"12,420.00",55,1,46,95%,94%,6/1/2016,43,3,117,"10,530.00","147,420.00",90
6/5/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,11,15,0,Litres,0,68,2,106,10%,92%,5/28/2016,93,8,130,"11,700.00","131,040.00",90
6/6/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,15,11,0,Litres,0,14,4,52,14%,99%,6/4/2016,43,2,118,"10,620.00","163,548.00",90
6/7/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,12,15,0,Litres,0,13,3,30,6%,96%,6/4/2016,30,3,123,"11,070.00","185,976.00",90
6/8/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,12,12,0,Litres,0,51,3,114,14%,99%,6/2/2016,98,6,130,"11,700.00","212,940.00",90
6/8/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,12,7,0,Kgs,0,94,3,249,11%,92%,5/28/2016,219,11,110,"66,000.00","831,600.00",600
6/7/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,15,10,0,Kgs,0,68,1,65,10%,90%,5/26/2016,57,12,111,"66,600.00","1,118,880.00",600
6/6/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,11,9,0,Kgs,0,79,5,355,10%,93%,6/1/2016,302,5,118,"70,800.00","792,960.00",600
6/5/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,10,8,112,Kgs,"67,200.00",37,2,66,100%,90%,5/28/2016,65,8,124,"74,400.00","937,440.00",600
6/4/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,14,15,75,Kgs,"45,000.00",53,4,164,100%,92%,6/1/2016,157,3,102,"61,200.00","771,120.00",600
6/3/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,15,7,206,Kgs,"123,600.00",94,3,249,96%,95%,5/23/2016,244,11,107,"64,200.00","1,168,440.00",600
6/2/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,11,7,70,Kgs,"42,000.00",94,3,249,96%,94%,5/22/2016,217,11,107,"64,200.00","1,078,560.00",600
6/1/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,12,11,64,Kgs,"38,400.00",94,3,249,99%,92%,5/21/2016,237,11,112,"67,200.00","1,223,040.00",600
5/31/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,12,12,88,Kgs,"52,800.00",94,3,249,99%,99%,5/20/2016,242,11,130,"78,000.00","1,201,200.00",600
5/30/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,10,11,133,Kgs,"79,800.00",94,3,249,95%,95%,5/19/2016,234,11,111,"66,600.00","1,212,120.00",600
5/29/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,15,7,168,Kgs,"100,800.00",94,3,249,100%,98%,5/18/2016,212,11,114,"68,400.00","1,149,120.00",600
5/28/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,12,11,45,Kgs,"27,000.00",94,3,249,96%,96%,5/17/2016,224,11,120,"72,000.00","1,008,000.00",600
5/27/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,12,8,152,Kgs,"91,200.00",94,3,249,97%,94%,5/16/2016,247,11,128,"76,800.00","1,290,240.00",600
5/26/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,12,10,77,Kgs,"46,200.00",94,3,249,98%,90%,5/15/2016,214,11,126,"75,600.00","1,164,240.00",600
5/25/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,15,13,126,Kgs,"75,600.00",94,3,249,99%,92%,5/14/2016,202,11,106,"63,600.00","979,440.00",600
5/24/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,10,6,116,Kgs,"69,600.00",94,3,249,96%,99%,5/13/2016,247,11,124,"74,400.00","1,145,760.00",600
5/23/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,10,7,107,Kgs,"64,200.00",94,3,249,99%,98%,5/12/2016,247,11,119,"71,400.00","1,299,480.00",600
5/22/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,12,12,167,Kgs,"100,200.00",94,3,249,95%,99%,5/11/2016,242,11,105,"63,000.00","1,058,400.00",600
5/21/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,15,6,48,Kgs,"28,800.00",94,3,249,97%,95%,5/10/2016,224,11,110,"66,000.00","924,000.00",600
5/20/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,11,8,58,Kgs,"34,800.00",94,3,249,99%,98%,5/9/2016,222,11,129,"77,400.00","1,191,960.00",600
5/19/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,12,7,158,Kgs,"94,800.00",94,3,249,97%,99%,5/8/2016,202,11,119,"71,400.00","899,640.00",600
5/18/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,10,9,148,Kgs,"88,800.00",94,3,249,99%,90%,5/7/2016,227,11,104,"62,400.00","698,880.00",600
5/17/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,10,11,176,Kgs,"105,600.00",94,3,249,95%,91%,5/6/2016,219,11,122,"73,200.00","1,229,760.00",600
5/16/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,13,7,131,Kgs,"78,600.00",94,3,249,96%,97%,5/5/2016,224,11,124,"74,400.00","833,280.00",600
5/15/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,15,13,84,Kgs,"50,400.00",94,3,249,96%,91%,5/4/2016,202,11,126,"75,600.00","1,375,920.00",600
5/14/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,14,15,165,Kgs,"99,000.00",94,3,249,95%,96%,5/3/2016,217,11,124,"74,400.00","937,440.00",600
5/13/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,14,8,131,Kgs,"78,600.00",94,3,249,96%,90%,5/2/2016,239,11,113,"67,800.00","759,360.00",600
5/12/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,11,5,161,Kgs,"96,600.00",94,3,249,96%,97%,5/1/2016,199,11,107,"64,200.00","719,040.00",600
5/11/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,10,5,43,Kgs,"25,800.00",94,3,249,99%,92%,4/30/2016,217,11,129,"77,400.00","1,083,600.00",600
5/10/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,13,10,158,Kgs,"94,800.00",94,3,249,95%,95%,4/29/2016,227,11,108,"64,800.00","1,088,640.00",600
5/9/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,12,5,194,Kgs,"116,400.00",94,3,249,98%,97%,4/28/2016,244,11,110,"66,000.00","924,000.00",600
5/8/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,13,12,202,Kgs,"121,200.00",94,3,249,96%,93%,4/27/2016,212,11,107,"64,200.00","898,800.00",600
5/7/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,12,7,80,Kgs,"48,000.00",94,3,249,97%,96%,4/26/2016,244,11,100,"60,000.00","756,000.00",600
5/6/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,15,7,174,Kgs,"104,400.00",94,3,249,99%,96%,4/25/2016,232,11,113,"67,800.00","1,233,960.00",600
5/5/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,13,15,146,Kgs,"87,600.00",94,3,249,100%,96%,4/24/2016,219,11,101,"60,600.00","933,240.00",600
5/4/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,10,11,106,Kgs,"63,600.00",94,3,249,96%,97%,4/23/2016,209,11,119,"71,400.00","1,299,480.00",600
5/3/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,14,12,168,Kgs,"100,800.00",94,3,249,98%,92%,4/22/2016,212,11,130,"78,000.00","873,600.00",600
5/2/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,15,7,104,Kgs,"62,400.00",94,3,249,96%,91%,4/21/2016,204,11,113,"67,800.00","1,044,120.00",600
5/1/2016,Packaged Food,Penne with Roasted Vegetables 4.5 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,Quick & Easy Foods,14,13,101,Kgs,"60,600.00",94,3,249,98%,99%,4/20/2016,199,11,111,"66,600.00","1,212,120.00",600
6/8/2016,Groceries,Pinapple Chunk 8 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,ABC Vendor,13,8,84,Kgs,"6,300.00",58,2,94,95%,95%,6/5/2016,86,3,103,"7,725.00","129,780.00",75
6/7/2016,Groceries,Pinapple Chunk 8 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,ABC Vendor,11,5,122,Kgs,"9,150.00",51,1,44,98%,99%,6/1/2016,43,6,122,"9,150.00","153,720.00",75
6/6/2016,Groceries,Pinapple Chunk 8 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,ABC Vendor,10,13,72,Kgs,"5,400.00",15,5,60,95%,91%,5/27/2016,59,10,117,"8,775.00","135,135.00",75
6/5/2016,Groceries,Pinapple Chunk 8 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,ABC Vendor,14,9,103,Kgs,"7,725.00",83,3,189,100%,96%,5/25/2016,185,11,101,"7,575.00","84,840.00",75
6/4/2016,Groceries,Pinapple Chunk 8 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,ABC Vendor,13,14,183,Kgs,"13,725.00",73,1,68,98%,90%,6/2/2016,62,2,122,"9,150.00","115,290.00",75
6/3/2016,Groceries,Pinapple Chunk 8 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,ABC Vendor,12,15,194,Kgs,"14,550.00",58,2,94,100%,99%,5/31/2016,77,3,116,"8,700.00","109,620.00",75
6/2/2016,Groceries,Pinapple Chunk 8 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,ABC Vendor,10,9,114,Kgs,"8,550.00",58,2,94,96%,91%,5/30/2016,79,3,121,"9,075.00","152,460.00",75
6/1/2016,Groceries,Pinapple Chunk 8 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,ABC Vendor,12,6,173,Kgs,"12,975.00",58,2,94,98%,98%,5/29/2016,91,3,100,"7,500.00","126,000.00",75
5/31/2016,Groceries,Pinapple Chunk 8 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,ABC Vendor,14,14,205,Kgs,"15,375.00",58,2,94,95%,98%,5/28/2016,81,3,122,"9,150.00","115,290.00",75
5/30/2016,Groceries,Pinapple Chunk 8 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,ABC Vendor,11,5,96,Kgs,"7,200.00",58,2,94,98%,97%,5/27/2016,80,3,130,"9,750.00","163,800.00",75
5/29/2016,Groceries,Pinapple Chunk 8 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,ABC Vendor,10,14,126,Kgs,"9,450.00",58,2,94,97%,95%,5/26/2016,86,3,119,"8,925.00","99,960.00",75
5/28/2016,Groceries,Pinapple Chunk 8 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,ABC Vendor,12,14,107,Kgs,"8,025.00",58,2,94,96%,94%,5/25/2016,84,3,114,"8,550.00","131,670.00",75
5/27/2016,Groceries,Pinapple Chunk 8 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,ABC Vendor,13,10,189,Kgs,"14,175.00",58,2,94,97%,91%,5/24/2016,84,3,116,"8,700.00","121,800.00",75
5/26/2016,Groceries,Pinapple Chunk 8 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,ABC Vendor,14,8,44,Kgs,"3,300.00",58,2,94,97%,90%,5/23/2016,79,3,122,"9,150.00","153,720.00",75
5/25/2016,Groceries,Pinapple Chunk 8 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,ABC Vendor,13,10,52,Kgs,"3,900.00",58,2,94,97%,90%,5/22/2016,86,3,104,"7,800.00","120,120.00",75
5/24/2016,Groceries,Pinapple Chunk 8 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,ABC Vendor,11,11,95,Kgs,"7,125.00",58,2,94,96%,95%,5/21/2016,82,3,101,"7,575.00","137,865.00",75
5/23/2016,Groceries,Pinapple Chunk 8 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,ABC Vendor,14,10,48,Kgs,"3,600.00",58,2,94,97%,93%,5/20/2016,75,3,111,"8,325.00","151,515.00",75
5/22/2016,Groceries,Pinapple Chunk 8 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,ABC Vendor,11,12,93,Kgs,"6,975.00",58,2,94,96%,98%,5/19/2016,86,3,114,"8,550.00","119,700.00",75
5/21/2016,Groceries,Pinapple Chunk 8 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,ABC Vendor,14,8,124,Kgs,"9,300.00",58,2,94,98%,98%,5/18/2016,82,3,125,"9,375.00","157,500.00",75
5/20/2016,Groceries,Pinapple Chunk 8 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,ABC Vendor,14,8,198,Kgs,"14,850.00",58,2,94,98%,90%,5/17/2016,86,3,129,"9,675.00","162,540.00",75
5/19/2016,Groceries,Pinapple Chunk 8 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,ABC Vendor,14,14,147,Kgs,"11,025.00",58,2,94,99%,97%,5/16/2016,86,3,128,"9,600.00","147,840.00",75
5/18/2016,Groceries,Pinapple Chunk 8 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,ABC Vendor,10,12,126,Kgs,"9,450.00",58,2,94,98%,95%,5/15/2016,84,3,119,"8,925.00","137,445.00",75
5/17/2016,Groceries,Pinapple Chunk 8 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,ABC Vendor,11,5,108,Kgs,"8,100.00",58,2,94,97%,90%,5/14/2016,83,3,112,"8,400.00","141,120.00",75
5/16/2016,Groceries,Pinapple Chunk 8 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,ABC Vendor,11,9,192,Kgs,"14,400.00",58,2,94,95%,99%,5/13/2016,88,3,126,"9,450.00","171,990.00",75
5/15/2016,Groceries,Pinapple Chunk 8 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,ABC Vendor,12,5,205,Kgs,"15,375.00",58,2,94,97%,99%,5/12/2016,89,3,112,"8,400.00","141,120.00",75
5/14/2016,Groceries,Pinapple Chunk 8 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,ABC Vendor,10,14,40,Kgs,"3,000.00",58,2,94,95%,92%,5/11/2016,78,3,103,"7,725.00","108,150.00",75
5/13/2016,Groceries,Pinapple Chunk 8 kg,Chandannagore Depot,DC - Kolkata Metropolitan Area,ABC Vendor,15,11,89,Kgs,"6,675.00",58,2,94,98%,94%,5/10/2016,80,3,109,"8,175.00","125,895.00",75
